verb;transcriptionEn;category;meaning;translation;transcriptionRu
abduct;/æbˈdʌkt/;I;отодвигать мышцу или конечность от настоящего положения;оттягивать, отводить;at’ˈt’ag’ivat’, atvaˈd’it’
advance;/ədˈvɑːns/;C;идти или двигать что-то вперед;продвигать, продвигаться, ускорять, ускоряться, наступать, идти, двигать, двигаться, надвигаться, надвигать, передвигать, выступать, двинуться ;pradv’iˈgat’, pradv’iˈgaca, uskaˈr’at’, uskaˈr’aca, nastuˈpat’, id’ˈt’i, ˈdv’igat’, ˈdv’igaca, nad’v’iˈgaca, nad’v’iˈgat’, p’ir’id’v’iˈgat’, vыstuˈpat’, ˈdv’inuca
agitate;/ˈædʒ.ɪ.teɪt/;-;встряхивать, обыкновенно жидкость;трясти, взбалтывать, перемешивать, сотрясать, мешать, баламутить, мутить, будоражить, колебать, встряхивать;tr’iˈst’i, ˈvzbaltыvat’, p’ir’iˈm’ešыvat’, satr’iˈsat’, m’iˈšat’, balaˈmut’it’, muˈt’it’, budaˈražыt’, kal’iˈbat’, ˈvstr’ax’ivat’
amble;/ˈæm.bl̩/;IC;идти спокойно, размеренно;иноходить, семенить, (идти) лёгким (шагом), мельтешить;inaxoˈd’it’, s’im’iˈn’it’, ˈl’oxk’im, m’il’t’iˈšыt’
amputate;/ˈæm.pjʊ.teɪt/;-;отрезать часть тела;отнимать, ампутировать, удалять, обрезать;at’n’iˈmat’, ampuˈt’iravat’, ud’aˈl’at’, abr’iˈzat’
appear;/əˈpɪər/;F;появляться, т.е. приходить;показываться, появляться, проявляться, явствовать, выступать, выходить, издаваться, нарисоваться, возникать, являться, объявляться, выплывать, выходить, проявляться, оказываться, проступать, подвернуться, представать;paˈkazыvaca, paiˈvl’aca, praiˈvl’aca, ˈjavstvavat’, vыstuˈpat’, vыxaˈd’it’, izdaˈvaca, nar’isaˈvaca, vazn’iˈkat’, jivˈl’aca, ab’ivˈl’aca, vыplыˈvat’, vыxaˈd’it’, praivˈl’aca, aˈkazыvaca, prastuˈpat’, padv’irˈnuca, pr’istaˈvat’
approach;/əˈprəʊtʃ/;FIC;подходить к кому-либо или чему-либо;приближаться, подходить, обращаться, наступать, приступать, подтягиваться, наплывать, притягиваться, надвигаться, сближаться, накатываться, подступать;pr’ibl’iˈžaca, patxaˈd’it’, abraˈš’aca, nastuˈpat’, pr’isuˈpat’, pat’ˈt’ag’ivaca, naplыˈvat’, pr’iˈt’ag’ivaca, nad’v’iˈgaca, sb’l’iˈžaca, naˈkatыvaca, pactuˈpat’
arrive;/əˈraɪv/;F;достигать какого-либо места;прибывать, достигать, докатываться, приходить, приезжать, доходить, прилетать, приплывать, перекочёвывать, являться, достигать, приваливать, пришагивать;pr’ib’iˈvat’, dast’iˈgat’, daˈkatыvaca, pr’ixaˈd’it’, pr’iiˈžat’, daxaˈd’it’, pr’il’iˈtat’, pr’iplыˈvat’, pr’ikaˈčovыvat’, jiˈvl’aca, dast’iˈgat’, pr’iˈval’ivat’, pr’iˈšag’ivat’
ascend;/əˈsend/;IC;двигаться вверх, подниматься;подниматься, всходить, продвигаться, восходить, набирать (высоту), взбираться, взметаться, доходить, возноситься, подниматься;padn’iˈmaca, fsxaˈd’it’, pradv’iˈgaca, vasxaˈd’it’, nab’iˈrat’, vzb’iˈraca, vzm’iˈtaca, daxaˈd’it’, vazˈnas’ica, padыˈmaca
attach;/əˈtætʃ/;I;закреплять или соединять что-либо;прикреплять, прикладывать, привязывать, присоединять, прикреплять, скреплять, связывать, приобщать, присовокуплять, крепить, приделывать, приснащать, состыковывать, прилеплять, сцеплять, присобачить, присупонивать, присаживать, присучивать;pr’ikr’iˈpl’at’, pr’iˈkladыvat’, pr’iˈv’azыvat’, pr’isaid’iˈn’at’, pr’ikr’iˈpl’at’, skr’iˈpl’at’, sv’aˈzыvat’, pr’iapˈš’at’, pr’isavakuˈpl’at’, kr’iˈp’it’, pr’iˈd’elыvat’, pr’isˈnaš’at’, sastыˈkovыvat’, pr’il’iˈpl’at’, sciˈpl’at’, pr’isaˈbačivat’, pr’isuˈpon’ivat’, pr’iˈsažыvat’, pr’iˈsučivat’
bang;/bæŋ/;IC;ударять частью тела о что-либо;ударять, стучать, хлопать, грохать, бахать, бить, колотить, захлопывать, бухать, брякать, тузить, дубасить, тюкать, хлестнуть, барабанить, бабахнуть, ухать;udaˈr’at’, stuˈčat’, ˈxlopat’, ˈgroxat’, ˈbaxat’, b’it’, kalaˈt’it’, zaˈxlopыvat’, ˈbuxat’, ˈbr’akat’, ˈtuz’it’, duˈbas’it’, ˈt’ukat’, ˈxl’isnut’, baraˈban’it’, baˈbaxnut’, ˈuxat’
bank;/bæŋk/;IC;лететь одним крылом выше, чем другим, при повороте (самолета);накреняться, (делать) вираж, крениться, уклоняться;nakr’iˈn’aca, v’iˈraž, kr’iˈn’ica, uklaˈn’aca
barge;/bɑːdʒ/;F;быстро проходить какое-либо место;вваливаться, протискиваться, проталкиваться, переть, вламываться, приходить, уходить, двигаться, идти;ˈvval’ivaca, praˈt’isk’ivaca, praˈtalk’ivaca, p’eˈr’et’, ˈvlamыvaca, pr’ixaˈd’it’, uxaˈd’it’, ˈdv’igaca, id’ˈt’i
barrel;/ˈbær.əl/;F;быстро идти;быстро (двигаться), нестись, лететь;ˈbыstra, n’is’ˈt’is’, l’iˈt’et’
