verb,transcriptionEn,category,meaning,translation,transcriptionRu
abduct,/æbˈdʌkt/,I,отодвигать мышцу или конечность от настоящего положения,"оттягивать, отводить","at’ˈt’ag’ivat’, atvad’ˈit’"
advance,/ədˈvɑːns/,C,идти или двигать что-то вперед,"продвигать, продвигаться, ускорять, ускоряться, наступать, идти, двигать, двигаться, надвигаться, надвигать, передвигать, выступать, двинуться ","prad’v’iˈgat’, prad’v’iˈgaca, uskaˈr’at’, uskaˈr’aca, nastuˈpat’, id’ˈt’i, ˈdv’igat’, ˈdv’igaca, nad’v’iˈgaca, nad’v’iˈgat’, p’ir’id’v’iˈgat’, vыstuˈpat’, ˈdv’inuca"
agitate,/ˈædʒ.ɪ.teɪt/,-,встряхивать (жидкость),"трясти, взбалтывать, перемешивать, сотрясать, мешать, баламутить, мутить, будоражить, колебать, встряхивать","tr’iˈs’t’i, vzˈbaltыvat’, p’ir’iˈm’ešыvat’, satr’iˈsat’, m’iˈšat’, balaˈmut’it’, muˈt’it’, budaˈražыt’, kal’iˈbat’, vstr’aˈx’ivat’"
amble,/ˈæm.bl̩/,IC,"идти спокойно, размеренно","иноходить, семенить, (идти) лёгким (шагом), (идти) мелкими (шагами), мельтешить","inaxaˈd’it’, s’im’iˈn’it’, l’ox’im, m’il’k’im, m’il’t’iˈšыt’"
amputate,/ˈæm.pjʊ.teɪt/,-,отрезать часть тела,"отнимать, ампутировать, удалять, обрезать","at’n’iˈmat’, ampuˈt’iravat’, ud’iˈlat’, abr’iˈzat’"
appear,/əˈpɪər/,F,"появляться, т.е. приходить","показываться, появляться, проявляться, явствовать, выступать, выходить, издаваться, нарисоваться, возникать, являться, объявляться, выплывать, выходить, проявляться, оказываться, проступать, подвернуться, представать","paˈkazыvaca, pajiˈvl’jaca, prajiˈvl’aca, ˈjavstvavat’, vыstuˈpat’, vыxaˈd’it’, izdaˈvaca, nar’isaˈvaca, vazn’iˈkat’, jiˈvl’aca, ab’iˈvl’aca, vыplыˈvat’, vыxaˈd’it’, prajiˈvl’aca, akaˈzыvaca, prasuˈpat’, padv’irˈnuca, pr’istaˈvat’"
approach,/əˈprəʊtʃ/,FIC,подходить к кому-либо или чему-либо,"приближаться, подходить, обращаться, наступать, приступать, подтягиваться, наплывать, притягиваться, надвигаться, сближаться, накатываться, подступать","pr’ibl’iˈžaca, patxaˈd’it’, abraˈš’aca, nastuˈpat’, pr’isuˈpat’, pat’ˈt’ag’ivaca, naplыˈvat’, pr’iˈt’ag’ivaca, nad’v’iˈgaca, sb’l’iˈžaca, naˈkatыvaca, pactuˈpat’"
arrive,/əˈraɪv/,F,достигать какого-либо места,"прибывать, достигать, докатываться, приходить, приезжать, доходить, прилетать, приплывать, перекочёвывать, являться, достигать, приваливать, пришагивать","pr’ib’iˈvat’, dast’iˈgat’, daˈkatыvaca, pr’ixaˈd’it’, pr’ijiˈžat’, d’ixaˈd’it’, pr’il’iˈtat’, pr’iˈplыvat’, pr’ikaˈčevыvat’, jiˈvl’aca, dast’iˈgat’, pr’iˈval’ivat’, pr’iˈšag’ivat’"
ascend,/əˈsend/,IC,"двигаться вверх, подниматься","подниматься, всходить, продвигаться, восходить, набирать (высоту), взбираться, взметаться, доходить, возноситься, подниматься","padn’iˈmaca, fsxaˈd’it’, prad’v’iˈgaca, vasxaˈd’it’, nab’iˈrat’, vzb’iˈraca, vz’m’iˈtaca, d’ixaˈd’it’, vazˈnos’ica, padыˈmaca"
attach,/əˈtætʃ/,I,закреплять или соединять что-либо,"прикреплять, прикладывать, привязывать, присоединять, прикреплять, скреплять, связывать, приобщать, присовокуплять, крепить, приделывать, приснащать, состыковывать, прилеплять, сцеплять, присобачить, присупонивать, присаживать, присучивать","pr’ikr’iˈp’l’at’, pr’iˈkladыvat’, pr’iˈv’azыvat’, pr’isaid’iˈn’at’, pr’ikr’iˈp’l’at’, skr’iˈp’l’at’, sv’iˈzыvat’, pr’iapˈš’at’, pr’isavuˈkup’l’ivat’, kr’iˈp’it’, pr’iˈd’el’ivat’, pr’isˈnaš’at’, sastыˈkovыvat’, pr’il’iˈp’l’at’, s’c’iˈp’l’at’, pr’isaˈbačivat’, pr’isuˈpon’ivat’, pr’iˈsažыvat’, pr’iˈsučivat’"
